,Model,Acc,Time,Std,Acc/Time
6,mobilenet_v3_small,97.22,10.76,0.8,9.035315985130111
9,shufflenet_v2_x0_5,97.15,13.08,1.91,7.42737003058104
11,squeezenet1_1,97.43,18.79,1.22,5.185204896221395
4,mnasnet1,97.1,19.23,0.8,5.049401976079043
7,mobilenet_v3_large,97.79,28.39,1.5,3.444522719267348
0,resnet18,98.0,29.53,1.3,3.318658990856756
5,mobilenet_v2,98.89,35.69,1.14,2.7708041468198377
1,resnet34,98.4,49.2,1.79,2.0
2,resnet50,98.32,91.85,5.82,1.0704409363091998
8,densenet121,98.61,109.13,6.29,0.903601209566572
3,resnext50,98.55,126.59,5.61,0.7784975116517892
10,vgg16,98.42,141.45,0.39,0.6957935666313185
